tag_a,tag_b,count
short_hair,simple_background,370840.0
looking_at_viewer,purple_eyes,370372.0
1girl,heart,368638.0
long_hair,multicolored_hair,367869.0
1girl,hair_ribbon,366919.0
1girl,braid,366507.0
full_body,long_hair,366034.0
blue_hair,solo,365849.0
hair_between_eyes,open_mouth,365370.0
brown_eyes,long_hair,364880.0
ribbon,smile,364680.0
:d,open_mouth,364569.0
jewelry,smile,364549.0
multicolored_hair,solo,363972.0
1girl,flower,363807.0
jacket,looking_at_viewer,363148.0
long_hair,pink_hair,362751.0
long_hair,tail,362067.0
1girl,purple_hair,361653.0
braid,long_hair,361634.0
breasts,tail,361462.0
blush,medium_breasts,360352.0
shirt,white_background,358068.0
1girl,short_sleeves,357619.0
1girl,pantyhose,357443.0
blush,very_long_hair,356644.0
long_hair,short_hair,356264.0
blush,original,355678.0
black_hair,open_mouth,354223.0
blush,holding,354107.0
1girl,sweat,353014.0
sidelocks,solo,351482.0
full_body,looking_at_viewer,351313.0
smile,thighhighs,350608.0
ahoge,long_hair,349877.0
grey_hair,long_hair,349321.0
short_hair,skirt,349122.0
breasts,hetero,348856.0
looking_at_viewer,swimsuit,348849.0
blonde_hair,multiple_girls,348532.0
1girl,censored,348331.0
long_hair,yellow_eyes,348197.0
bow,open_mouth,347086.0
long_hair,purple_hair,346354.0
long_sleeves,short_hair,346160.0
long_hair,ponytail,345772.0
breasts,twintails,345102.0
collared_shirt,shirt,344961.0
blue_eyes,large_breasts,343895.0
smile,very_long_hair,343750.0
1girl,nude,342890.0
looking_at_viewer,twintails,342784.0
ass,breasts,342580.0
breasts,nude,342381.0
1girl,earrings,342252.0
hair_ribbon,long_hair,341511.0
animal_ears,open_mouth,341100.0
long_hair,panties,341039.0
looking_at_viewer,thighs,340302.0
breasts,hat,340049.0
blonde_hair,short_hair,339491.0
holding,open_mouth,338655.0
1girl,parted_lips,338392.0
closed_mouth,simple_background,338379.0
looking_at_viewer,tail,337909.0
long_hair,thighs,337870.0
long_hair,school_uniform,337807.0
school_uniform,skirt,336781.0
cowboy_shot,looking_at_viewer,336422.0
solo,white_hair,336199.0
looking_at_viewer,underwear,335910.0
breasts,green_eyes,334006.0
blush,sitting,333868.0
looking_at_viewer,upper_body,332965.0
1girl,frills,332759.0
looking_at_viewer,sidelocks,332423.0
open_mouth,red_eyes,331800.0
skirt,white_shirt,331678.0
holding,shirt,331244.0
large_breasts,simple_background,330505.0
gloves,open_mouth,328837.0
solo,yellow_eyes,328409.0
bikini,solo,328206.0
1girl,ponytail,327410.0
jacket,long_sleeves,326690.0
breasts,cowboy_shot,326497.0
blue_eyes,shirt,326249.0
dress,open_mouth,325730.0
hair_between_eyes,simple_background,325619.0
hair_between_eyes,shirt,324893.0
blush,twintails,324456.0
long_hair,upper_body,323764.0
blush,hat,323665.0
blue_eyes,simple_background,323161.0
1girl,pleated_skirt,322850.0
grey_hair,solo,322565.0
nipples,solo,322093.0
2girls,blush,321429.0
looking_at_viewer,multicolored_hair,321429.0
brown_hair,multiple_girls,321193.0
long_sleeves,white_background,320389.0
1girl,open_clothes,319765.0
green_eyes,looking_at_viewer,319684.0
closed_mouth,long_sleeves,319487.0
2girls,breasts,318902.0
1girl,outdoors,318175.0
2girls,smile,318027.0
holding,long_sleeves,317958.0
closed_mouth,shirt,317178.0
breasts,sweat,316973.0
black_thighhighs,thighhighs,316516.0
1girl,weapon,316298.0
blue_eyes,hair_ornament,316250.0
1girl,lying,315723.0
blush,sweat,315646.0
simple_background,skirt,315466.0
breasts,sidelocks,315199.0
large_breasts,nipples,314646.0
bare_shoulders,large_breasts,314631.0
pink_hair,solo,314233.0
breasts,brown_eyes,314116.0
smile,standing,313684.0
blue_eyes,multiple_girls,313149.0
blush,white_shirt,312555.0
hat,open_mouth,312409.0
black_hair,shirt,312406.0
collarbone,smile,312301.0
medium_breasts,smile,311985.0
blush,panties,311407.0
blush,jewelry,311241.0
open_mouth,thighhighs,311040.0
ahoge,solo,309696.0
blue_hair,breasts,309554.0
hair_between_eyes,long_sleeves,309473.0
breasts,censored,308811.0
brown_eyes,looking_at_viewer,308225.0
ass,long_hair,308152.0
flower,solo,308107.0
brown_hair,shirt,308002.0
blue_eyes,blue_hair,307955.0
cowboy_shot,long_hair,307059.0
1girl,kantai_collection,306893.0
skirt,thighhighs,306678.0
open_mouth,ribbon,305858.0
breasts,yellow_eyes,305522.0
breasts,multicolored_hair,305384.0
blush,purple_eyes,305130.0
blue_hair,looking_at_viewer,303876.0
black_hair,multiple_girls,303520.0
